#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:08:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:08:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out.all&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nest	(I6)	[100001/400002]? 2MASS "nest" group identification (Tully 2015, Cat. J/AJ/149/171)	[ucd=meta.id]
#Column	o_<DM>	(I3)	[1/161] Number of galaxies in group with distance measures (N_d_^gp^)	[ucd=meta.number]
#Column	<DM>	(F5.2)	[18.4/38.5] Weighted average group distance modulus (<{mu}>^gp^)	[ucd=phot.mag.distMod]
#Column	e_<DM>	(F5.2)	[0.02/0.54] One standard deviation uncertainty in <DM> ({epsilon}_{mu}_^gp^)	[ucd=stat.error]
#Column	<Dist>	(F5.1)	[0/494.3] Luminosity distance to group; weighted average of distance moduli	[ucd=pos.distance;pos.heliocentric]
#Column	Abell	(A5)	Abell Cluster identification (ASxxx are from the southern supplement list)	[ucd=meta.id]
#Column	GName	(a9)	Alternative name for group or cluster	[ucd=meta.id]
#Column	Npv	(I3)	[1/197] Number of galaxies in group with positions and velocities in the 2MRS catalog (Huchra et al. 2012, Cat. J/ApJS/199/26) (N_v_)	[ucd=meta.number]
#Column	PGC1	(I7)	[14/9003164] Principal Galaxies Catalog identifier of brightest group member	[ucd=meta.id.assoc]
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
#Column	SGLON	(F8.4)	Group Supergalactic longitude (SGL^gp^) (G1)	[ucd=pos.supergalactic.lon]
#Column	SGLAT	(F8.4)	Group Supergalactic latitude (SGB^gp^) (G1)	[ucd=pos.supergalactic.lat]
#Column	logLKs	(F5.2)	[0/14.43] Log summed Ks luminosity of group (LogL^gp^) (G2)	[ucd=phys.luminosity;em.IR.K]
#Column	CF	(F6.2)	[0/118.1] Luminosity selection function correction factor (cf)	[ucd=arith.factor]
#Column	sigP	(I4)	[0/2303] Projected velocity dispersion ({sigma}_p_) (G3)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F7.4)	[0/84] Projected second turnaround radius (R_2t_) (G4)	[ucd=phys.size.radius]
#Column	<HV>	(I5)	[-376/29980] Group heliocentric velocity (V_h_^gp^)	[ucd=phys.veloc;pos.heliocentric]
#Column	<Vgsr>	(I5)	[-189/29883] Group velocity in Galactic standard of rest (V_gsr_^gp^) (G5)	[ucd=phys.veloc;pos.galactocentric]
#Column	<Vls>	(I5)	[-158/29882] Group velocity in Local Sheet standard of rest (Tully et al. 2008, Cat. J/ApJ/676/184) (V_ls_^gp^)	[ucd=phys.veloc;pos.lsr]
#Column	<Vcmb>	(I5)	[-669/29820] Group velocity in CMB standard of rest (Fixsen et al. 1996ApJ...473..576F) (V_cmb_^gp^)	[ucd=phys.veloc;pos.cmb]
#Column	<Vcmba>	(I5)	[-668/32110] Group velocity in CMB standard of rest, adjusted (V_mod_^gp^) (G6)	[ucd=phys.veloc;pos.cmb]
#Column	sigma	(I4)	[0/2401]? RMS group velocity dispersion (V_rms_)	[ucd=stat.stdev;phys.veloc.dispersion;pos.lg]
#Column	Mvir	(F9.3)	[0/29467] Group mass from virial theorem (M_12_^bw^) (G7)	[ucd=phys.mass]
#Column	Mlum	(F10.4)	[0/24401] Group mass from luminosity (M_12_^L^) (G8)	[ucd=phys.mass]
#Column	LDC	(I4)	[3/1538]? Low density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	HDC	(I4)	[2/1258]? High density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	2M++	(I4)	[0/4715]? Group identifier from 2MASS++ catalog (Lavaux & Hudson 2011, Cat. J/MNRAS/416/2840)	[ucd=meta.id]
#Column	MK2011	(I7)	[0/5067059] Group identifier from MK2011 catalog (Makarov & Karachentsev 2011, Cat. J/MNRAS/412/2498) (M&K)	[ucd=meta.id;meta.main]
#Column	Icnt	(I4)	[0/2941]? Internal reference identifier	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Nest	o_<DM>	<DM>	e_<DM>	<Dist>	Abell	GName	Npv	PGC1	GLON	GLAT	SGLON	SGLAT	logLKs	CF	sigP	R2t	<HV>	<Vgsr>	<Vls>	<Vcmb>	<Vcmba>	sigma	Mvir	Mlum	LDC	HDC	2M++	MK2011	Icnt	Simbad	_RA.icrs	_DE.icrs
      54	200065	 16	35.72	 0.11	139.2	A0260	         	 14	   6796	137.01	-28.21	331.9095	 -2.6637	12.92	  2.89	 696	 1.8910	10970	11111	11181	10708	11009	 589	  548.000	  674.6670	    	    	3849	      0	2043	Simbad	027.6740	+33.0366
      55	200024	 16	34.99	 0.11	 99.6	A3389	         	 26	  18906	274.71	-27.48	211.0305	-40.4176	12.82	  1.86	 637	 1.7310	 7990	 7766	 7712	 8078	 8249	 586	  336.000	  517.3330	 441	 393	4032	      0	2272	Simbad	095.4942	-64.9744
      56	100014	 16	32.82	 0.09	 36.7	AS636	Antlia   	 47	  30308	272.43	+19.13	149.1605	-38.8487	12.48	  1.07	 472	 1.2830	 2907	 2673	 2605	 3229	 3257	 502	  282.667	  210.6670	 712	 584	1032	5066790	 489	Simbad	156.9755	-35.1029
      57	100433	 15	36.72	 0.13	221.3	     	         	  5	 972399	299.09	+51.76	126.2317	 -6.1139	13.14	 10.03	 843	 2.2890	15066	14939	14881	15409	16034	 239	  137.333	 1197.3330	    	    	2877	      0	   0	Simbad	190.4378	-11.0395
      58	200305	 15	36.69	 0.13	218.0	AS542	         	  6	  17867	254.78	-30.46	226.6112	-54.7252	13.19	  8.26	 883	 2.3970	14962	14747	14708	15031	15626	 450	  693.333	 1373.3330	    	    	3433	      0	   0	Simbad	086.4628	-47.9849
      59	100135	 15	36.51	 0.11	200.7	A2040	         	  9	  54213	008.78	+51.35	118.3326	 34.8330	13.13	  5.81	 835	 2.2680	13458	13495	13466	13635	14124	 496	  493.333	 1164.0000	    	    	2742	      0	2612	Simbad	227.9358	+07.3934
      60	200758	 15	36.27	 0.11	179.3	A0168	         	  4	   4500	135.66	-62.00	298.1023	 -4.7792	12.68	  5.09	 563	 1.5310	13399	13471	13519	13082	13532	 113	    0.000	  357.3330	    	    	    	      0	2052	Simbad	018.7966	+00.2834
      61	200100	 15	31.81	 0.08	 23.0	     	         	 12	  13419	218.45	-52.38	277.4896	-43.3629	11.78	  1.00	 255	 0.6910	 1606	 1500	 1504	 1492	 1498	 195	   34.133	   32.9330	 391	 237	4587	5066705	 849	Simbad	054.7175	-24.4195
      62	200826	 14	36.58	 0.13	206.7	AS599	         	  6	  19556	265.27	-22.39	207.7085	-50.1008	13.46	 11.09	1094	 2.9710	15762	15527	15474	15884	16549	 776	 2053.333	 2613.3330	    	    	3710	      0	   0	Simbad	102.3274	-55.6002
      63	200297	 14	36.23	 0.12	176.4	A2589	         	  6	  71325	094.77	-40.89	308.2138	 25.8791	12.79	  4.27	 621	 1.6850	12544	12728	12790	12180	12569	 552	  425.333	  477.3330	    	    	    	      0	2933	Simbad	350.9360	+17.1373
      64	200064	 14	36.02	 0.12	160.1	A3744	         	 14	3442281	021.19	-40.13	244.7863	 37.6616	12.95	  3.55	 715	 1.9430	11339	11412	11414	11075	11397	 669	  821.333	  730.6670	    	    	3515	      0	2862	Simbad	316.7406	-25.6181
      65	100127	 14	35.98	 0.11	157.0	A1228	         	 10	  34772	187.11	+69.46	 76.7117	 -9.3859	12.75	  2.97	 597	 1.6200	10468	10460	10456	10747	11050	 200	   44.933	  424.0000	    	    	2735	      0	2441	Simbad	170.3925	+34.2642
      66	100067	 14	35.91	 0.13	152.0	     	J16      	 31	  54666	006.23	+49.10	121.7222	 34.9870	13.28	  3.30	 954	 2.5910	11095	11126	11095	11271	11604	 763	 1720.000	 1733.3330	    	    	2659	      0	2616	Simbad	228.7992	+04.7505
      67	100025	 14	35.48	 0.12	124.9	     	J22      	 23	  59332	049.12	+35.80	 87.1154	 60.4753	13.08	  2.77	 801	 2.1760	10367	10531	10543	10365	10647	 449	  514.667	 1028.0000	    	    	1996	      0	2659	Simbad	254.6679	+27.9028
      68	100052	 14	35.36	 0.13	118.0	     	J13      	 16	  95536	027.83	+75.97	 94.9385	 19.5110	12.70	  2.24	 575	 1.5610	 8924	 8962	 8946	 9159	 9379	 238	   93.733	  380.0000	 972	 817	2561	      0	2532	Simbad	208.3162	+25.0364
      69	140002	 14	31.87	 0.08	 23.7	     	VirgoWp  	  8	  40375	283.68	+69.66	106.8814	 -5.0736	11.43	  1.00	 186	 0.5070	 1117	 1040	 1000	 1457	 1463	 139	   10.280	   12.9470	 852	 716	   1	5066891	   5	Simbad	186.2169	+07.7875
      70	100223	 13	36.81	 0.14	230.5	     	         	  7	 516831	284.13	+12.18	161.8046	-30.6205	13.60	 15.39	1220	 3.3130	16340	16106	16032	16625	17354	1306	 7306.667	 3626.6670	    	    	1598	      0	   0	Simbad	165.5336	-46.6628
      71	200335	 13	36.61	 0.14	209.7	A0533	         	  6	 812005	222.97	-33.74	277.8853	-62.2800	13.05	  6.93	 781	 2.1210	14583	14430	14423	14583	15143	 265	  146.667	  952.0000	    	    	3355	      0	2221	Simbad	075.2511	-22.4740
      72	200102	 13	36.19	 0.12	173.1	A2657	         	 11	  72297	096.23	-50.43	300.5739	 19.3737	12.85	  3.53	 654	 1.7770	11702	11855	11911	11335	11672	 838	 1277.333	  560.0000	    	    	    	      0	2936	Simbad	356.0168	+08.9160
      73	200086	 13	35.58	 0.12	130.9	     	J35      	 12	  16315	217.54	-33.52	287.2488	-61.3165	12.68	  2.22	 563	 1.5310	 9467	 9328	 9327	 9456	 9690	 427	  274.667	  357.3330	 344	 328	3911	      0	2184	Simbad	073.8434	-18.1447
      74	200082	 13	35.26	 0.14	112.8	     	J33      	 13	  11061	195.80	-58.42	288.9756	-32.4982	12.61	  2.01	 530	 1.4390	 8833	 8786	 8808	 8645	 8841	 246	  123.067	  297.3330	 204	 177	3579	      0	2101	Simbad	043.9924	-14.5464
      75	200013	 13	34.46	 0.12	 78.1	A0347	         	 54	   9201	140.96	-17.18	343.2559	 -5.2785	12.79	  1.29	 621	 1.6850	 5728	 5868	 5940	 5517	 5597	 656	  866.667	  477.3330	 229	 141	4503	      0	2081	Simbad	036.4483	+42.3647
      76	100013	 13	34.00	 0.14	 63.0	     	         	 49	  43924	303.99	+49.38	129.3997	 -3.7956	12.69	  1.21	 568	 1.5440	 4403	 4277	 4216	 4736	 4796	 329	  216.000	  366.6670	 883	 732	1561	5066216	   0	Simbad	193.5678	-13.4859
      77	100015	 13	33.88	 0.12	 59.6	     	         	 39	  43763	303.44	+53.62	125.2081	 -3.0578	12.51	  1.19	 487	 1.3230	 4169	 4054	 3997	 4505	 4559	 387	  242.667	  230.6670	 883	 727	1561	      0	   0	Simbad	193.1648	-09.2505
      78	101091	 12	36.56	 0.14	205.3	     	         	  3	  49355	319.55	+32.99	147.3255	  5.2580	12.94	  9.08	 711	 1.9310	14839	14713	14645	15107	15708	 151	    0.000	  717.3330	    	    	2364	      0	   0	Simbad	208.6001	-27.8418
      79	200089	 12	36.51	 0.14	200.6	A3376	         	 12	  18204	245.88	-26.15	230.3844	-63.4545	13.25	  6.01	 931	 2.5290	13962	13749	13716	14051	14570	 342	  392.000	 1613.3330	    	    	3616	      0	   0	Simbad	090.1692	-39.4543
      80	200355	 12	36.47	 0.14	196.3	AS911	         	  6	  65686	357.78	-39.84	229.7948	 25.0987	13.18	  9.86	 877	 2.3810	15050	15047	15026	14861	15442	 193	   50.400	 1346.6670	    	    	    	      0	   0	Simbad	313.2768	-43.2804
      81	200885	 12	36.10	 0.13	166.0	     	J32      	  3	   6004	156.24	-69.06	290.2782	-12.5747	12.42	  3.71	 448	 1.2170	12069	12095	12131	11784	12148	 427	    0.000	  180.0000	    	    	3153	      0	2063	Simbad	024.3275	-09.2095
      82	200457	 12	36.06	 0.14	163.3	AS540	         	  5	  17570	246.47	-30.31	235.5641	-60.0451	12.61	  2.93	 530	 1.4390	10876	10669	10638	10939	11253	 241	  116.933	  297.3330	    	    	3731	      0	   0	Simbad	085.0137	-40.8910
      83	100094	 12	35.95	 0.11	154.8	A2052	         	 11	  54526	009.67	+50.10	119.0398	 36.0813	12.85	  2.90	 653	 1.7750	10446	10486	10458	10616	10912	 620	  582.667	  557.3330	    	    	2433	      0	2615	Simbad	229.2948	+07.1434
      84	100119	 12	35.75	 0.14	141.0	     	         	 10	  29012	253.76	+31.00	122.5658	-44.9465	12.56	  2.41	 505	 1.3720	 9233	 9028	 8975	 9584	 9825	 350	  131.333	  257.3330	 683	 558	1755	      0	   0	Simbad	150.6041	-15.3021
      85	200108	 12	35.74	 0.12	140.3	     	         	 11	    382	320.56	-65.19	245.1508	 -4.4012	12.68	  2.92	 563	 1.5310	10579	10509	10493	10385	10668	 386	  225.333	  357.3330	    	    	3307	      0	   0	Simbad	001.3757	-50.3369
      86	100033	 12	35.72	 0.12	139.1	A3570	         	 19	  48624	314.20	+23.33	156.4745	 -0.3935	13.16	  3.24	 859	 2.3320	10932	10777	10704	11188	11516	 620	 1190.667	 1264.0000	    	    	1634	      0	2555	Simbad	206.0910	-38.3810
      87	200174	 12	35.68	 0.14	137.0	     	         	  8	  17130	227.70	-30.39	269.3139	-65.9262	12.54	  2.54	 498	 1.3520	10230	10060	10047	10262	10538	 550	  409.333	  246.6670	    	    	3905	      0	   0	Simbad	080.0980	-25.2373
      88	100197	 12	35.66	 0.14	135.3	     	         	  8	  28483	252.50	+28.85	123.2698	-47.3170	12.63	  2.45	 539	 1.4640	 9348	 9139	 9086	 9694	 9940	 241	   52.933	  313.3330	 673	 548	1749	      0	   0	Simbad	148.2242	-16.0535
      89	200040	 12	35.58	 0.13	130.8	     	J08      	 19	   9462	150.47	-34.41	326.0482	-14.3674	12.85	  2.21	 654	 1.7770	 9496	 9586	 9649	 9258	 9483	 522	  581.333	  560.0000	 170	 149	3839	      0	2093	Simbad	037.3716	+23.1652
      90	200091	 12	35.54	 0.14	128.4	A3372	         	 12	  17981	240.33	-26.56	240.0717	-66.2947	12.61	  2.47	 530	 1.4390	 9986	 9783	 9755	10064	10330	 336	  209.333	  297.3330	 413	 375	4036	      0	   0	Simbad	088.0299	-34.7650
      91	200046	 12	35.38	 0.11	119.0	A0397	         	 18	  11105	161.84	-37.20	322.0936	-23.2374	12.86	  2.26	 660	 1.7930	 9652	 9702	 9756	 9443	 9677	 553	  476.000	  574.6670	 214	    	    	      0	2091	Simbad	044.2245	+16.0185
      92	100037	 12	34.93	 0.12	 97.0	AS761	         	 18	  51107	325.94	+31.65	148.9139	 10.5938	12.62	  1.63	 532	 1.4450	 6859	 6751	 6685	 7103	 7236	 497	  241.333	  301.3330	 993	 856	1555	      0	2583	Simbad	214.8412	-27.2635
      93	100032	 12	34.52	 0.12	 80.2	     	Zw74-23  	 20	  50028	349.76	+65.52	111.6881	 18.7130	12.42	  1.50	 449	 1.2200	 6257	 6249	 6215	 6516	 6628	 479	  202.667	  181.3330	 998	 834	2269	      0	2571	Simbad	210.6950	+09.3620
      94	100029	 12	34.51	 0.14	 79.7	AS639	         	 29	  31755	280.63	+11.16	161.9044	-34.1979	12.72	  1.51	 581	 1.5790	 6248	 6009	 5936	 6534	 6646	 504	  418.667	  392.0000	 732	 595	1074	      0	   0	Simbad	160.4367	-46.0205
      95	100030	 12	34.20	 0.09	 69.2	     	Cancer   	 21	  23404	202.57	+28.61	 56.8481	-47.6802	12.31	  1.25	 406	 1.1010	 4797	 4707	 4708	 5033	 5100	 367	  169.333	  133.3330	 566	 476	1433	      0	2331	Simbad	125.1586	+21.0313
      96	100128	 12	30.63	 0.10	 13.3	     	         	 15	  42407	300.19	+52.82	125.4327	 -5.1509	12.28	  1.00	 397	 1.0770	 1324	 1202	 1144	 1666	 1673	 198	   59.867	  124.9330	 852	 716	1152	5066904	  31	Simbad	191.1772	-10.0159
      97	201170	 11	36.75	 0.14	223.5	     	J30      	  4	   4624	149.82	-75.48	284.3676	 -9.2254	13.04	  9.16	 774	 2.1030	15335	15357	15388	15042	15637	 106	    0.000	  926.6670	    	    	    	      0	2062	Simbad	019.5711	-14.0286
      98	200434	 11	36.67	 0.15	216.0	     	         	  7	  14787	241.86	-46.13	254.9077	-48.2759	13.21	  8.56	 899	 2.4430	15146	14983	14966	15105	15705	 418	  609.333	 1453.3330	    	    	3204	      0	   0	Simbad	063.9984	-38.8343
      99	100079	 11	36.52	 0.15	201.3	     	         	 12	  46459	308.87	+29.09	150.0801	 -4.2913	13.50	  9.06	1131	 3.0720	14813	14652	14579	15101	15701	 679	 1680.000	 2893.3330	    	    	2494	      0	   0	Simbad	199.0829	-33.4946
     100	200175	 11	36.27	 0.15	179.3	AS794	         	 10	5061272	325.63	-17.40	198.3029	  5.9259	12.89	  5.20	 678	 1.8410	12864	12735	12675	12893	13330	 430	  356.000	  622.6670	    	    	4153	      0	   0	Simbad	262.6871	-66.9035
     101	200033	 11	36.25	 0.15	178.1	A2717	         	 25	  72642	356.24	-75.69	258.8940	  2.7238	14.10	  8.84	1788	 4.8570	15000	14991	14996	14729	15300	1582	17066.666	11426.6670	    	    	3084	      0	   0	Simbad	358.8615	-34.9789
     102	200555	 11	36.17	 0.15	171.2	AS560	         	  4	  18246	267.48	-29.45	216.5207	-45.7288	12.52	  3.15	 489	 1.3280	11095	10872	10824	11173	11501	 716	    0.000	  233.3330	    	    	3725	      0	   0	Simbad	090.1268	-58.8148
     103	100113	 11	36.07	 0.15	163.6	     	         	 10	  47195	313.34	+37.28	142.5461	  0.6354	13.26	  6.15	 939	 2.5490	13542	13407	13339	13838	14341	 439	  493.333	 1653.3330	 937	    	2503	      0	   0	Simbad	201.9746	-24.8538
     104	200074	 11	35.75	 0.13	141.3	A3733	         	 15	  65980	017.29	-39.79	241.5015	 36.1876	13.02	  3.28	 761	 2.0650	10948	11008	11006	10696	10996	 962	 2373.333	  878.6670	    	    	3426	      0	2861	Simbad	315.5633	-28.4378
     105	220014	 11	35.70	 0.13	137.8	     	A0548N   	 12	  17893	230.23	-24.54	261.7528	-71.5780	13.06	  3.47	 790	 2.1450	11443	11258	11239	11514	11862	 404	  321.333	  985.3330	    	    	3728	      0	2225	Simbad	087.0270	-25.4746
     106	100511	 11	35.51	 0.13	126.5	A1177	         	  5	  33836	220.50	+66.26	 87.1105	-17.2519	12.37	  2.53	 430	 1.1680	 9538	 9475	 9455	 9863	10118	  87	    6.600	  158.6670	    	    	2638	      0	2451	Simbad	167.4170	+21.7286
     107	100028	 11	35.39	 0.15	119.6	     	         	 23	1118804	021.06	+19.45	150.3450	 61.2555	12.77	  2.07	 612	 1.6630	 8693	 8790	 8775	 8679	 8877	 594	  537.333	  458.6670	1189	 986	1365	      0	   0	Simbad	260.2226	-01.1923
     108	200032	 11	34.47	 0.13	 78.4	A3656	         	 22	  63976	002.02	-29.40	221.8707	 33.6796	12.44	  1.46	 456	 1.2390	 5892	 5906	 5883	 5727	 5813	 386	  193.333	  189.3330	1314	    	4202	      0	2831	Simbad	300.1601	-38.4746
     109	200099	 11	32.75	 0.09	 35.5	     	AS851A   	 12	  64192	350.98	-32.74	220.0496	 23.7774	12.04	  1.07	 320	 0.8690	 2862	 2835	 2803	 2724	 2744	 204	   28.533	   65.6000	1324	1088	4593	5067020	1049	Simbad	302.6364	-48.3356
     110	100073	 11	32.19	 0.08	 27.4	     	         	 13	  53932	000.25	+49.17	124.2726	 31.7047	11.88	  1.01	 278	 0.7550	 1624	 1637	 1602	 1816	 1825	 280	   55.333	   42.8000	 852	 886	1040	5066998	 668	Simbad	226.2654	+01.7659
     111	100219	 11	31.79	 0.08	 22.8	     	         	  8	  37969	286.23	+42.19	131.7887	-17.8758	11.71	  1.01	 239	 0.6490	 1662	 1490	 1425	 2017	 2028	  67	    3.453	   27.3330	 852	 685	1141	5066854	 409	Simbad	179.8456	-18.9873
     112	100065	 11	30.91	 0.08	 15.2	     	         	 15	  40692	189.58	+82.96	 85.6921	  0.7438	11.59	  1.00	 216	 0.5870	  820	  821	  809	 1103	 1106	 264	   46.000	   20.1330	 852	 699	1042	5066890	 149	Simbad	185.4149	+29.7214
     113	100122	 11	30.36	 0.06	 11.8	     	         	 11	  32256	233.45	+57.65	 93.6090	-25.8409	11.97	  1.00	 300	 0.8150	  971	  866	  836	 1318	 1323	 283	   63.733	   53.8670	 852	 628	    	5066805	 266	Simbad	161.9603	+12.6089
     114	103177	 10	37.78	 0.13	360.4	A2295	         	  1	  61083	099.54	+29.95	 33.4282	 36.7559	13.95	 44.15	1597	 4.3360	25227	25474	25528	25188	26830	   0	    0.000	 8133.3330	    	    	    	      0	2683	Simbad	269.4991	+69.2942
     115	202242	 10	37.28	 0.16	285.2	A0419	         	  2	  11928	214.51	-58.39	278.4021	-36.9879	13.75	 55.25	1367	 3.7130	20255	20169	20179	20103	21172	  90	    0.000	 5106.6670	    	    	    	      0	2142	Simbad	047.7481	-23.6519
     116	102582	 10	35.95	 0.16	155.0	     	         	  2	  24221	228.76	+21.61	 92.7490	-62.0406	12.32	  4.15	 410	 1.1120	12032	11853	11824	12321	12720	  55	    0.000	  137.3330	    	    	1746	      0	   0	Simbad	129.2279	-03.3107
     117	200055	 10	35.92	 0.15	152.4	AS929	         	 16	  66219	024.62	-40.24	247.6993	 38.9496	12.96	  3.03	 721	 1.9590	10564	10647	10652	10289	10567	 746	 1162.667	  749.3330	    	    	3512	      0	   0	Simbad	317.6411	-23.1271
     118	200056	 10	35.75	 0.14	140.9	A2572	         	 15	  70934	094.25	-38.81	309.8490	 27.4127	13.11	  3.51	 824	 2.2360	11668	11857	11920	11305	11640	 657	  832.000	 1116.0000	    	    	    	      0	2931	Simbad	349.5862	+18.8218
     119	100522	 10	35.50	 0.14	126.2	A1016	         	  5	  30751	231.23	+52.53	 92.7410	-31.0541	12.32	  2.60	 411	 1.1160	 9677	 9559	 9530	10023	10286	  57	    0.724	  138.6670	 715	    	2514	      0	2414	Simbad	156.8070	+11.0647
     120	200161	 10	35.31	 0.11	115.3	A2666	         	  9	  72605	106.69	-33.72	320.0898	 21.1453	12.35	  1.87	 421	 1.1440	 8198	 8391	 8461	 7854	 8016	 220	   59.733	  149.3330	1531	1252	4002	      0	2935	Simbad	357.6923	+27.2311
     121	200158	 10	34.97	 0.15	 98.7	     	         	  9	  10891	175.74	-51.18	303.9034	-28.2012	12.17	  1.51	 359	 0.9750	 6910	 6910	 6948	 6699	 6817	 262	   71.467	   92.5330	 205	    	3794	      0	   0	Simbad	042.8238	-01.0323
     122	100050	 10	34.69	 0.15	 86.8	     	         	 20	  35557	272.61	+48.59	120.5191	-22.3540	12.42	  1.54	 447	 1.2150	 6325	 6165	 6109	 6694	 6812	 356	  180.000	  178.6670	 798	 650	1779	      0	   0	Simbad	173.0653	-09.5647
     123	200045	 10	34.35	 0.14	 74.1	     	7S21     	 18	   1351	113.91	-40.05	316.2235	 13.4183	12.30	  1.33	 403	 1.0930	 5769	 5937	 6005	 5427	 5505	 274	   65.333	  130.5330	  24	  17	4105	      0	2011	Simbad	005.4049	+22.2988
     124	200071	 10	34.24	 0.13	 70.4	     	P597-1   	 18	  16420	199.48	-24.96	322.0197	-57.4475	12.01	  1.13	 312	 0.8470	 4450	 4361	 4380	 4429	 4481	 338	  144.000	   60.5330	 351	 330	    	      0	2185	Simbad	074.7125	-00.2703
     125	100039	 10	32.77	 0.10	 35.7	     	         	 18	  49514	083.76	+71.57	 78.4168	 20.9384	12.07	  1.03	 328	 0.8920	 2442	 2528	 2533	 2627	 2645	 160	   28.933	   70.8000	 962	 812	1341	5066961	 725	Simbad	208.1072	+40.5964
     126	101312	 10	28.27	 0.06	  4.5	     	         	  3	  48082	314.60	+31.91	147.9975	  0.9956	11.49	  1.00	 197	 0.5350	  463	  321	  251	  743	  744	  57	    0.000	   15.2000	 391	 793	1038	5066953	 231	Simbad	204.2846	-29.9242
     127	201061	  9	36.93	 0.13	243.2	A0114	         	  3	 826285	123.29	-84.49	275.3675	 -4.9557	13.30	 18.99	 968	 2.6290	17320	17332	17354	17026	17790	 174	    0.000	 1813.3330	    	    	2990	      0	2021	Simbad	012.8965	-21.6184
     128	200859	  9	36.89	 0.17	238.7	     	         	  3	  67223	048.58	-41.00	271.2515	 42.6712	13.04	 11.40	 774	 2.1030	15617	15760	15789	15284	15899	 571	    0.000	  926.6670	    	    	    	      0	   0	Simbad	325.8179	-06.7756
     129	200318	  9	36.73	 0.13	222.0	A2457	         	  6	  87323	068.82	-46.09	287.8633	 34.2125	13.61	 23.35	1227	 3.3330	17705	17865	17910	17341	18134	 352	  469.333	 3693.3330	    	    	    	      0	2891	Simbad	338.6526	+01.9094
     130	200179	  9	36.67	 0.17	215.7	     	         	  8	  62674	347.67	-21.53	207.4124	 25.2151	13.25	  9.66	 931	 2.5290	14893	14851	14809	14817	15395	 417	  314.667	 1613.3330	    	    	3928	      0	   0	Simbad	285.0737	-49.0618
     131	200325	  9	36.41	 0.17	191.7	     	         	  6	  17443	240.89	-30.58	244.0563	-62.6233	12.89	  6.37	 678	 1.8410	14200	14003	13977	14255	14789	 308	   26.667	  622.6670	    	    	3534	      0	   0	Simbad	083.3969	-36.2419
     132	200267	  9	36.29	 0.17	181.4	     	         	  7	   8498	168.89	-61.98	295.2247	-19.9602	12.89	  4.52	 678	 1.8410	12986	12997	13034	12731	13157	 189	    3.787	  622.6670	    	    	3149	      0	   0	Simbad	032.7257	-06.4237
     133	100066	  9	36.25	 0.17	177.6	     	         	 13	4683777	291.08	+09.82	166.1648	-24.5227	13.66	  9.10	1272	 3.4530	14850	14624	14548	15114	15715	 832	 3066.667	 4106.6670	    	    	    	      0	   0	Simbad	173.9722	-51.3049
